time,max_temperature
1,667.25263003728
2,773.25945120617
3,865.54202392047
4,944.0664039292
5,1010.0378964278
6,1065.0842625429
7,1110.8485001017
8,1148.8236257038
9,1180.3041841075
10,1206.3874603328
11,1227.9930318527
12,1245.8871006624
13,1260.7061779084
14,1272.9782259536
15,1283.1412521476
16,1291.5961888069
17,1299.8638869165
18,1321.3736753091
19,1395.5907969826
20,1507.9653905392
21,1560.7846564132
22,1548.6534760156
23,1519.4008856459
24,1490.4497922338
25,1464.676155701
26,1442.5225900201
27,1423.8170197733
28,1408.1694560376
29,1395.1434863568
30,1384.3272841698
31,1375.357770306
32,1367.9247247901
33,1361.7671323366
34,1356.6670720649
35,1352.4433213884
36,1348.9454828723
37,1346.048872457
38,1343.6501796396
39,1341.6638277901
40,1340.0189404221
41,1338.6568205049
42,1337.5288594589
43,1336.5948040447
44,1335.8213205162
45,1335.1808053188
46,1334.6504001139
47,1334.2111760763
48,1333.8474583945
49,1333.5462668852
50,1333.2968527673
51,1333.0903150658
52,1332.9192829588
53,1332.7776527315
54,1332.6603699498
55,1332.5632490799
56,1332.482824117
57,1332.416224892
58,1332.3610746426
59,1332.3154051921
60,1332.2775867101
61,1332.2462695482
62,1332.2203360739
63,1332.1988607853
64,1332.1810772822
65,1332.1663509151
66,1332.1541561363
67,1332.1440577442
68,1332.1356953519
69,1332.1287705262
70,1332.1230361373
71,1332.1182875387
72,1332.1143552648
73,1332.1110989824
74,1332.1084024827
75,1332.1061695344
76,1332.1043204489
77,1332.102789237
78,1332.1015212536
79,1332.1004712473
80,1332.099601746
81,1332.0988817195
82,1332.0982854716
83,1332.0977917239
84,1332.0973828556
85,1332.0970442753
86,1332.0967638998
87,1332.0965317232
88,1332.0963394598
89,1332.0961802481
90,1332.0960484063
91,1332.0959392292
92,1332.0958488206
93,1332.0957739539
94,1332.0957119575
95,1332.0956606188
96,1332.0956181057
97,1332.095582901
98,1332.0955537482
99,1332.095529607
100,1332.095509616
