time,max_T,min_T
0,580,0
200,592.70486437625,582.61687198219
400,605.14445332356,585.23979123815
600,617.67112953479,587.84979015747
800,630.30016749235,590.44643848995
1000,643.01420314107,593.02974734136
1200,655.81398730416,595.55414065008
1400,668.70027237558,597.93364246141
1600,681.67381901513,600.30134616192
1800,694.73538004312,602.65175659021
2000,707.88572296106,604.99504684761
2200,721.12561674789,607.32676567336
2400,734.45583408057,609.64677771586
2600,747.87715166578,611.95500121297
2800,761.39035025981,614.25142741767
3000,774.99621466357,616.53605088388
3200,788.69553371723,618.80886609319
3400,802.48910029266,621.06986736404
3600,816.37771128462,623.31904885728
3800,830.36216760075,625.55640458633
4000,844.443274151,627.78192842358
4200,858.62182412869,629.99561410383
4400,872.89842388426,632.19748948898
4600,887.27429680012,634.38748471581
4800,901.7481384424,636.56562142997
5000,916.30816867153,638.73189432731
5200,930.96793391835,640.88629658995
5400,945.72852194084,643.02882139523
5600,960.59074805824,645.15946183626
5800,975.55542636395,647.27821094318
6000,990.62337416906,649.38506163768
6200,1005.7954115909,651.4800285279
6400,1021.0723634958,653.56305116738
6600,1036.4793244372,655.63415555461
6800,1051.9992308399,657.69350820201
7000,1067.628983437,659.74097486813
7200,1083.3694936275,661.77651158828
7400,1099.2216778058,663.80010965133
7600,1115.1864573592,665.81176168572
7800,1131.2647547253,667.81146039372
8000,1147.457457553,669.79919869197
8200,1163.7655447405,671.77496916434
8400,1180.1899600651,673.73876461729
8600,1196.7316499601,675.69057747263
8800,1213.3915657277,677.64505161912
9000,1230.1706637796,679.57355674592
9200,1249.7295632662,681.48893233762
9400,1266.9099919192,683.39267012119
9600,1284.1272069753,685.28440403098
9800,1301.4658303057,687.16411486135
10000,1318.9284868692,689.03179643065
10200,1336.5161469958,690.88744298184
10400,1354.2297529827,692.73104810722
10600,1372.070249571,694.56259585154
10800,1390.0385844428,696.38209119716
11000,1390.446116841,696.41329930154
11200,1390.4546123807,696.41388254577
11400,1390.4547861696,696.41389356852
11600,1390.4547897096,696.41389377713
11800,1390.4547897815,696.41389378091
12000,1390.4547897815,696.41389378091
12200,1390.4547897815,696.41389378091
12400,1390.4547897815,696.41389378091
12600,1390.4547897815,696.41389378091
12800,1390.4547897815,696.41389378091
13000,1390.4547897815,696.41389378091
13200,1390.4547897815,696.41389378091
13400,1390.4547897815,696.41389378091
13600,1390.4547897815,696.41389378091
13800,1390.4547897815,696.41389378091
14000,1390.4547897815,696.41389378091
14200,1390.4547897815,696.41389378091
14400,1390.4547897815,696.41389378091

